date,close,open,high,low
2024-05-14,2227.97,2211.86,2230.74,2207.98
2024-05-15,2210.34,2202.84,2211.71,2201.6
2024-05-16,2213.17,2240.27,2247.54,2211.9
2024-05-17,2243.76,2265.94,2268.7,2230.13
2024-05-20,2275.38,2277.07,2284.95,2267.28
2024-05-21,2269.71,2255.96,2273.14,2251.31
2024-05-22,2257.95,2253.7,2269.08,2252.84
2024-05-23,2238.96,2222.29,2238.98,2213.71
2024-05-24,2213.18,2200.39,2226.81,2196.54
2024-05-27,2204.03,2227.27,2229.47,2204.03
2024-05-28,2227.08,2220.86,2239.71,2218.23
2024-05-29,2216.67,2214.25,2231.79,2208.23
2024-05-30,2204.59,2184.03,2213.5,2177.74
2024-05-31,2195.34,2172.77,2209.37,2172.77
2024-06-03,2178.92,2185.47,2199.39,2174.86
2024-06-04,2181.03,2193.5,2199.2,2176.35
2024-06-05,2193.36,2180.39,2206.33,2178.31
2024-06-06,2190.8,2186.65,2204.4,2180.14
2024-06-07,2189.91,2189.17,2198.28,2176.11
2024-06-11,2174.22,2149.91,2179.8,2140.9
2024-06-12,2141.94,2145.18,2150.35,2125.48
2024-06-13,2154.61,2142.85,2158.31,2132.93
2024-06-14,2135.46,2150.32,2160.27,2133.66
2024-06-17,2139.9,2139.26,2153.75,2134.15
2024-06-18,2137.68,2149.58,2153.96,2129.54
2024-06-19,2154.02,2177.15,2183.12,2154.02
2024-06-20,2177.74,2175.51,2189.63,2171.32
2024-06-21,2170.85,2158.42,2175.78,2152.57
2024-06-24,2151.1,2158.53,2163.25,2140.03
2024-06-25,2161.94,2162.88,2176.8,2152.89
2024-06-26,2151.95,2162.32,2166.03,2148.77
2024-06-27,2153.52,2137.53,2154.04,2135.25
2024-06-28,2130.04,2157.34,2170.97,2130.04
2024-07-01,2157.1,2166.95,2167.74,2153.38
2024-07-02,2167.15,2180.09,2191.48,2166.59
2024-07-03,2178.23,2173.07,2184.09,2164.21
2024-07-04,2168.06,2172.04,2183.84,2168.06
2024-07-05,2171.56,2148.14,2181.15,2139.29
2024-07-08,2127.13,2119.25,2137.41,2114.42
2024-07-09,2117.0,2134.32,2141.44,2109.19
2024-07-10,2128.42,2119.91,2141.54,2116.4
2024-07-11,2127.06,2134.14,2136.16,2122.21
2024-07-12,2137.26,2155.32,2157.1,2137.26
2024-07-15,2152.4,2154.66,2165.96,2150.91
2024-07-16,2143.48,2137.56,2148.68,2132.1
2024-07-17,2134.89,2125.47,2137.9,2117.92
2024-07-18,2120.8,2136.47,2142.24,2116.61
2024-07-19,2122.26,2120.31,2124.34,2104.37
2024-07-22,2119.5,2117.66,2121.59,2093.07
2024-07-23,2115.1,2096.86,2120.03,2096.86
2024-07-24,2094.84,2093.69,2104.41,2083.86
2024-07-25,2090.58,2077.96,2093.59,2061.56
2024-07-26,2075.33,2072.03,2096.88,2060.75
2024-07-29,2076.01,2077.77,2085.44,2065.15
2024-07-30,2073.75,2060.14,2073.75,2050.85
2024-07-31,2066.03,2100.27,2102.46,2063.23
2024-08-01,2100.32,2093.01,2108.96,2090.39
2024-08-02,2072.9,2072.61,2078.75,2058.32
2024-08-05,2067.82,2057.29,2088.5,2047.78
2024-08-06,2066.86,2039.74,2075.89,2028.09
2024-08-07,2037.65,2044.42,2057.05,2030.93
2024-08-08,2041.08,2046.61,2053.02,2028.88
2024-08-09,2053.31,2052.34,2068.4,2051.56
2024-08-12,2052.37,2056.48,2059.6,2048.13
2024-08-13,2062.35,2065.03,2067.85,2051.84
2024-08-14,2068.24,2059.11,2071.33,2054.11
2024-08-15,2055.11,2082.93,2089.39,2047.06
2024-08-16,2084.86,2097.86,2100.85,2082.87
2024-08-19,2103.96,2124.82,2126.98,2103.55
2024-08-20,2128.43,2115.16,2128.48,2102.34
2024-08-21,2109.41,2108.35,2112.89,2091.0
2024-08-22,2110.27,2114.23,2114.31,2100.19
2024-08-23,2105.41,2126.5,2128.8,2104.15
2024-08-26,2133.66,2136.39,2138.22,2124.39
2024-08-27,2131.38,2144.82,2147.95,2130.11
2024-08-28,2144.08,2129.39,2149.56,2121.51
2024-08-29,2120.59,2101.9,2124.36,2087.31
2024-08-30,2104.31,2114.45,2137.59,2104.16
2024-09-02,2101.42,2087.67,2101.42,2083.25
2024-09-03,2081.57,2067.26,2087.21,2057.96
2024-09-04,2051.91,2046.97,2058.81,2038.37
2024-09-05,2047.44,2045.76,2058.82,2036.3
2024-09-06,2051.03,2044.88,2059.39,2044.27
2024-09-09,2028.18,2003.31,2028.18,1992.57
2024-09-10,2002.03,2002.52,2006.77,1990.72
2024-09-11,1992.04,1987.94,1992.04,1977.94
2024-09-12,1988.59,1992.52,2003.69,1979.61
2024-09-13,1999.29,2009.35,2022.1,1999.29
2024-09-16,2005.69,2011.63,2012.21,2000.34
2024-09-17,2011.07,2023.94,2027.03,2010.53
2024-09-18,2025.53,2041.36,2042.75,2025.53
