代码		    名称		
02513		智谱		
SH603115	海星股份	
SZ002364	中恒电气	
SH688300	联瑞新材	
SZ002396	星网锐捷	
920438		戈碧迦		
SH688275	万润新能	
02727		上海电气	
SZ300852	四会富仕	
SH601727	上海电气	
SH688521	芯原股份	
SNDK		闪迪		
SZ300461	田中精机	
SZ300632	光莆股份	
SH688502	茂莱光学	
SZ000066	中国长城	
SZ301529	福赛科技	
SH688503	聚和材料	
SZ000925	众合科技	
SZ300570	太辰光		
920125		鸿仕达		
SH688813	泰金新能	
SH601179	中国西电	
SH688313	仕佳光子	
SZ301018	申菱环境	
SZ300450	先导智能	
920522		纳科诺尔	
SZ300857	协创数据	
SZ002916	深南电路	
SH688183	生益电子	
SZ002432	九安医疗	
SH605589	圣泉集团	
SZ301630	同宇新材	
SZ301307	美利信		
SZ002222	福晶科技	
SH600105	永鼎股份	
SZ300503	昊志机电	
SH688167	炬光科技	
SZ301205	联特科技	
SZ301183	东田微		
lc9999		碳酸锂主连	
SZ000967	盈峰环境	
SH688388	嘉元科技	
SH688268	华特气体	
SZ301317	鑫磊股份	
SZ301196	唯科科技	
SH603026	石大胜华	
SH688498	源杰科技	
SZ002384	东山精密	
SZ002428	云南锗业	
SH688376	美埃科技	
920284		灵鸽科技	
SH688661	和林微纳	
SH688248	南网科技	
00100		MINIMAX-W	
SH688525	佰维存储	
SZ300394	天孚通信	
SZ300757	罗博特科	
SZ001896	豫能控股	
SH605060	联德股份	
SH603950	长源东谷	
SH688766	普冉股份	
SH688629	华丰科技	
SZ002645	华宏科技	
SH600875	东方电气	
SH601869	长飞光纤	
SZ300617	安靠智电	
SH600330	天通股份	
SZ301526	国际复材	
SZ002353	杰瑞股份	
SH603629	利通电子	
SH603256	宏和科技	
SH512100	中证1000ETF南方	
SZ002149	西部材料	
SZ300548	长芯博创	
SH600498	烽火通信	
SZ300970	华绿生物	
SH688347	华虹公司	
SH688536	思瑞浦		
SZ301150	中一科技	
SZ002703	浙江世宝	
SH688326	经纬恒润-W	
SH603596	伯特利		
SZ002837	英维克		
SZ000657	中钨高新	
SH688627	精智达		
SZ001309	德明利		
SZ300475	香农芯创	
SZ300395	菲利华		
SZ300476	胜宏科技	
SZ300502	新易盛		
SH688256	寒武纪		
SH688981	中芯国际	
00981		中芯国际	
01347		华虹半导体	
YINN		富时中国3倍做多ETF	
07709		南方两倍做多海力士	
TSLA		特斯拉		
02498		速腾聚创	
SZ300567	精测电子	

